Stkcd,Trddt,Clsprc,Dretwd,ToverOs
2230,2024/8/29,33.59,0.008103,0.761094
2230,2024/8/30,34.39,0.023817,1.300504
2230,2024/9/2,33.39,-0.029078,0.918555
2230,2024/9/3,34.09,0.020964,0.934571
2230,2024/9/4,33.88,-0.00616,0.535062
2230,2024/9/5,34.25,0.010921,0.656746
2230,2024/9/6,34,-0.007299,0.889206
2230,2024/9/9,33.66,-0.01,0.607406
2230,2024/9/10,34.16,0.014854,0.766693
2230,2024/9/11,34.34,0.005269,0.684294
2230,2024/9/12,34.08,-0.007571,0.652563
2230,2024/9/13,33.82,-0.007629,0.598451
2230,2024/9/18,33.84,0.000591,0.505925
2230,2024/9/19,34.58,0.021868,1.150635
2230,2024/9/20,34.69,0.003181,0.840131
2230,2024/9/23,34.81,0.003459,0.921578
2230,2024/9/24,35.85,0.029876,1.737449
2230,2024/9/25,36.38,0.014784,2.199993
