ticker,market,industry,event,planned_event_date,actual_event_date,alpha,beta_estimated,marketcap,CAR_m5_p10,PostCAR_p11_p30,Turnover_Estimation_Avg,Turnover_Event_Avg,TurnoverChange,TurnoverChangeRatio,event_window_obs,post_window_obs,estimation_obs,China,Software
603986,China,Semi,GPT4,2023-03-15,2023-03-15,-0.00036525325611191125,1.3338287434264715,,0.15636824081742048,0.007953623107789437,1.9353458363636364,2.6741900625,0.7388442261363637,0.38176341006039216,16,20,110,1,0
688008,China,Semi,GPT4,2023-03-15,2023-03-15,0.0006654720103204212,0.6742713078507795,,0.20310555662768087,-0.07447753856578844,0.8607126999999998,2.1787688750000003,1.3180561750000006,1.5313543938645275,16,20,110,1,0
688009,China,Semi,GPT4,2023-03-15,2023-03-15,0.001328663987273564,0.3337093745104217,,-0.02711390235717656,0.138700478023726,0.6200248181818182,0.348327375,-0.2716974431818182,-0.4382041415350969,16,20,110,1,0
688012,China,Semi,GPT4,2023-03-15,2023-03-15,-0.0010220376254703224,0.7214058042353322,,0.18009953449610586,0.2977306612758363,1.1287914727272725,1.884140625,0.7553491522727274,0.669166245956597,16,20,110,1,0
688036,China,Semi,GPT4,2023-03-15,2023-03-15,0.002328528756725159,1.16605812847513,,0.15008665521060688,-0.0017439575050820846,0.4476565363636364,0.8063543750000001,0.3586978386363637,0.8012791269621704,16,20,110,1,0
688041,China,Semi,GPT4,2023-03-15,2023-03-15,0.0004683549978154363,0.7338527313239291,,0.3745842422460436,0.18929100185673248,6.993914681818182,10.911305,3.917390318181819,0.5601141129681939,16,20,110,1,0
688047,China,Semi,GPT4,2023-03-15,2023-03-15,0.004092441429392733,0.7738681336368176,,0.2194131907287716,-0.07216828764069586,7.106824900000001,9.4746226875,2.367797787499999,0.3331723830004589,16,20,110,1,0
688065,China,Semi,GPT4,2023-03-15,2023-03-15,0.0004682755640647278,1.092430217486009,,-0.026129058908651873,-0.16881437975516547,0.5128703727272726,0.4520898125,-0.06078056022727263,-0.11851057003753596,16,20,110,1,0
688072,China,Semi,GPT4,2023-03-15,2023-03-15,-0.00040018147656029665,0.7674055290799954,,0.03862862646328896,0.4179795135390256,5.112489818181818,5.771281437500001,0.6587916193181824,0.12885925307377377,16,20,110,1,0
688099,China,Semi,GPT4,2023-03-15,2023-03-15,0.0005606038070337414,1.2520013946410404,,0.16589781411494475,-0.026651362786850524,1.0980784454545454,1.3405014999999998,0.24242305454545443,0.22077025147789353,16,20,110,1,0
688256,China,Semi,GPT4,2023-03-15,2023-03-15,0.0019351730011012997,0.8907183203491364,,0.6979635885029514,0.31217122630799293,1.6825268818181818,5.9552690625,4.272742180681819,2.5394792956083907,16,20,110,1,0
