date,ticker,market,industry,close,log_ret,volume,turnover,marketcap,beta,ret,ret_market,stock_ret,China,Software,event_day,actual_event_date,expected_ret,abnormal_ret,event
2023-03-30,2230,China,Software,58.77,,,3.029595,,,-0.008101,0.0080505912349531,-0.008101,1,1,11,2023-03-15,0.010204918765192,-0.018305918765192,GPT4
2023-03-31,2230,China,Software,63.68,,,5.178715,,,0.083546,0.0030657230457501,0.083546,1,1,12,2023-03-15,0.00563717604639676,0.07790882395360324,GPT4
2023-04-03,2230,China,Software,69.3,,,6.432244,,,0.088254,0.0097383387588878,0.088254,1,1,13,2023-03-15,0.011751438386375804,0.07650256161362419,GPT4
2023-04-04,2230,China,Software,65.9,,,5.648657,,,-0.049062,0.0030601684455057,-0.049062,1,1,14,2023-03-15,0.0056320862458525585,-0.05469408624585256,GPT4
2023-04-06,2230,China,Software,63.98,,,3.983229,,,-0.029135,-0.0015768786321101,-0.029135,1,1,15,2023-03-15,0.0013830595471392296,-0.03051805954713923,GPT4
2023-04-07,2230,China,Software,65.5,,,3.252716,,,0.023757,0.0064818376021907,0.023757,1,1,16,2023-03-15,0.008767435824488665,0.014989564175511335,GPT4
2023-04-10,2230,China,Software,58.95,,,5.226739,,,-0.1,-0.0044890190855494,-0.1,1,1,17,2023-03-15,-0.001285397841787877,-0.09871460215821212,GPT4
2023-04-11,2230,China,Software,59.85,,,4.218995,,,0.015267,-0.0011368734283516,0.015267,1,1,18,2023-03-15,0.0017862458480434557,0.013480754151956544,GPT4
2023-04-12,2230,China,Software,61.74,,,3.684311,,,0.031579,-0.0006977791875518,0.031579,1,1,19,2023-03-15,0.0021885974138526375,0.029390402586147366,GPT4
2023-04-13,2230,China,Software,59.09,,,3.387918,,,-0.042922,-0.0069331833991617,-0.042922,1,1,20,2023-03-15,-0.0035250385551016507,-0.03939696144489835,GPT4
2023-04-14,2230,China,Software,59.18,,,3.227067,,,0.001523,0.0056414956770505,0.001523,1,1,21,2023-03-15,0.007997412312498627,-0.0064744123124986265,GPT4
2023-04-17,2230,China,Software,58.23,,,2.746034,,,-0.016053,0.0139262857802164,-0.016053,1,1,22,2023-03-15,0.015588944973773135,-0.03164194497377314,GPT4
2023-04-18,2230,China,Software,59.76,,,3.310744,,,0.026275,0.0030435270628399,0.026275,1,1,23,2023-03-15,0.0056168373863808,0.020658162613619198,GPT4
2023-04-19,2230,China,Software,58.51,,,3.687237,,,-0.020917,-0.009044311572579,-0.020917,1,1,24,2023-03-15,-0.0054595110379361735,-0.015457488962063828,GPT4
2023-04-20,2230,China,Software,63.95,,,5.833911,,,0.092976,-0.0028017962437847,0.092976,1,1,25,2023-03-15,0.0002606410017563323,0.09271535899824367,GPT4
2023-04-21,2230,China,Software,58.04,,,7.47723,,,-0.092416,-0.0197541628544672,-0.092416,1,1,26,2023-03-15,-0.015273179796155873,-0.07714282020384412,GPT4
2023-04-24,2230,China,Software,58.76,,,4.48472,,,0.012405,-0.0124574766313426,0.012405,1,1,27,2023-03-15,-0.008587068127405862,0.02099206812740586,GPT4
2023-04-25,2230,China,Software,61.17,,,4.975383,,,0.041014,-0.0050286381805545,0.041014,1,1,28,2023-03-15,-0.0017798625093735027,0.042793862509373504,GPT4
2023-04-26,2230,China,Software,56.98,,,5.477459,,,-0.068498,-0.0008669640066283,-0.068498,1,1,29,2023-03-15,0.0020335696987485137,-0.07053156969874852,GPT4
2023-04-27,2230,China,Software,55.36,,,4.108577,,,-0.028431,0.0073448447124438,-0.028431,1,1,30,2023-03-15,0.00955822793663825,-0.037989227936638253,GPT4
2022-09-13,2371,China,Semi,314.03,,,0.714389,,,0.004896,0.0042238227249835,0.004896,1,0,-120,2023-03-15,0.0010768709220490714,0.003819129077950929,GPT4
2022-09-14,2371,China,Semi,326.41,,,1.408461,,,0.039423,-0.0111922272701104,0.039423,1,0,-119,2023-03-15,-0.010740892498990785,0.05016389249899078,GPT4
2022-09-15,2371,China,Semi,311.0,,,1.673051,,,-0.047211,-0.009450822016788,-0.047211,1,0,-118,2023-03-15,-0.009405951621757676,-0.03780504837824233,GPT4
2022-09-16,2371,China,Semi,315.76,,,1.329115,,,0.015305,-0.0237293418161428,0.015305,1,0,-117,2023-03-15,-0.020351697713986844,0.03565669771398684,GPT4
2022-09-19,2371,China,Semi,316.0,,,1.309821,,,0.00076,-0.0011914996582425,0.00076,1,0,-116,2023-03-15,-0.0030744518093894875,0.0038344518093894877,GPT4
